Channel,Counts,,Setting,Value
1,0,,Detector angle,110
2,0,,Target angle,20
3,0,,Voltage (kV),35
4,0,,Current (mA),1
5,0,,Gate time (s),300
6,0,,,
7,0,,,
8,0,,,
9,0,,,
10,0,,,
11,0,,,
12,0,,,
13,0,,,
14,0,,,
15,0,,,
16,0,,,
17,0,,,
18,0,,,
19,0,,,
20,0,,,
21,0,,,
22,0,,,
23,0,,,
24,0,,,
25,0,,,
26,0,,,
27,0,,,
28,0,,,
29,0,,,
30,0,,,
31,0,,,
32,0,,,
33,0,,,
34,1,,,
35,6,,,
36,2,,,
37,4,,,
38,12,,,
39,15,,,
40,22,,,
41,21,,,
42,31,,,
43,24,,,
44,26,,,
45,30,,,
46,28,,,
47,27,,,
48,33,,,
49,41,,,
50,27,,,
51,28,,,
52,32,,,
53,34,,,
54,29,,,
55,27,,,
56,27,,,
57,24,,,
58,36,,,
59,34,,,
60,27,,,
61,20,,,
62,20,,,
63,19,,,
64,29,,,
65,34,,,
66,30,,,
67,33,,,
68,31,,,
69,24,,,
70,33,,,
71,37,,,
72,38,,,
73,29,,,
74,25,,,
75,22,,,
76,32,,,
77,25,,,
78,35,,,
79,35,,,
80,24,,,
81,24,,,
82,24,,,
83,28,,,
84,27,,,
85,38,,,
86,37,,,
87,31,,,
88,26,,,
89,36,,,
90,29,,,
91,26,,,
92,30,,,
93,30,,,
94,31,,,
95,33,,,
96,33,,,
97,27,,,
98,26,,,
99,34,,,
100,24,,,
101,22,,,
102,26,,,
103,25,,,
104,19,,,
105,30,,,
106,24,,,
107,18,,,
108,24,,,
109,17,,,
110,25,,,
111,31,,,
112,26,,,
113,30,,,
114,26,,,
115,25,,,
116,24,,,
117,25,,,
118,29,,,
119,37,,,
120,40,,,
121,30,,,
122,35,,,
123,40,,,
124,37,,,
125,55,,,
126,38,,,
127,40,,,
128,36,,,
129,30,,,
130,33,,,
131,35,,,
132,36,,,
133,35,,,
134,40,,,
135,34,,,
136,27,,,
137,40,,,
