Channel,Counts,,Setting,Value
1,0,,Detector angle,0
2,0,,Target angle,-90
3,0,,Voltage (kV),35
4,0,,Current (mA),0.25
5,0,,Gate time (s),300
6,0,,,
7,0,,,
8,0,,,
9,0,,,
10,0,,,
11,0,,,
12,0,,,
13,0,,,
14,0,,,
15,0,,,
16,0,,,
17,0,,,
18,0,,,
19,0,,,
20,0,,,
21,0,,,
22,0,,,
23,0,,,
24,0,,,
25,0,,,
26,0,,,
27,0,,,
28,0,,,
29,0,,,
30,0,,,
31,0,,,
32,1,,,
33,0,,,
34,4,,,
35,0,,,
36,3,,,
37,13,,,
38,7,,,
39,14,,,
40,15,,,
41,30,,,
42,31,,,
43,34,,,
44,39,,,
45,31,,,
46,43,,,
47,32,,,
48,35,,,
49,33,,,
50,25,,,
51,37,,,
52,28,,,
53,23,,,
54,36,,,
55,24,,,
56,21,,,
57,29,,,
58,27,,,
59,23,,,
60,30,,,
61,26,,,
62,31,,,
63,21,,,
64,27,,,
65,27,,,
66,30,,,
67,27,,,
68,24,,,
69,21,,,
70,16,,,
71,23,,,
72,21,,,
73,18,,,
74,23,,,
75,15,,,
76,15,,,
77,14,,,
78,27,,,
79,33,,,
80,16,,,
81,24,,,
82,22,,,
83,24,,,
84,22,,,
85,15,,,
86,17,,,
87,20,,,
88,23,,,
89,18,,,
90,16,,,
91,24,,,
92,18,,,
93,23,,,
94,15,,,
95,19,,,
96,22,,,
97,24,,,
98,16,,,
99,12,,,
100,29,,,
101,16,,,
102,18,,,
103,20,,,
104,17,,,
105,17,,,
106,21,,,
107,24,,,
108,16,,,
109,21,,,
110,15,,,
111,21,,,
112,27,,,
113,21,,,
114,20,,,
115,27,,,
116,16,,,
117,22,,,
118,22,,,
119,28,,,
120,33,,,
121,45,,,
122,48,,,
123,53,,,
124,48,,,
125,39,,,
126,55,,,
127,41,,,
128,50,,,
129,40,,,
130,34,,,
131,43,,,
132,25,,,
133,30,,,
134,38,,,
135,55,,,
